Date,Rain_mm
6/17/2019,21.6
6/18/2019,0
6/19/2019,0
6/20/2019,0
6/21/2019,1.7
6/22/2019,0
6/23/2019,10.2
6/24/2019,1.6
6/25/2019,4.5
6/26/2019,5.6
6/27/2019,0
6/28/2019,0
6/29/2019,0
6/30/2019,0
7/1/2019,0
7/2/2019,1.2
7/3/2019,0
7/4/2019,0.4
7/5/2019,1.5
7/6/2019,8.3
7/7/2019,2.2
7/8/2019,1.1
7/9/2019,0
7/10/2019,15.9
7/11/2019,112.7
7/12/2019,5.6
7/13/2019,18.5
7/14/2019,1.7
7/15/2019,1.6
7/16/2019,0.6
7/17/2019,0
7/18/2019,2.5
7/19/2019,0.1
7/20/2019,11.6
7/21/2019,0
7/22/2019,3.2
7/23/2019,8.3
7/24/2019,0
7/25/2019,0
7/26/2019,0
7/27/2019,8.2
7/28/2019,0
7/29/2019,5.2
7/30/2019,23.7
7/31/2019,6.5
8/1/2019,0
8/2/2019,0
8/3/2019,0
8/4/2019,0.1
8/5/2019,0
8/6/2019,62.6
8/7/2019,2.3
8/8/2019,0.1
8/9/2019,6.7
8/10/2019,25.4
8/11/2019,0
8/12/2019,2.5
8/13/2019,17
8/14/2019,3.3
8/15/2019,3.2
8/16/2019,0
8/17/2019,3.7
8/18/2019,16.9
8/19/2019,4
8/20/2019,8.5
8/21/2019,0
8/22/2019,5.6
8/23/2019,1.2
8/24/2019,1.1
8/25/2019,0
8/26/2019,3.8
8/27/2019,0
8/28/2019,1.4
8/29/2019,3.2
8/30/2019,7.5
8/31/2019,0.6
9/1/2019,9
9/2/2019,0.1
9/3/2019,0
9/4/2019,0
9/5/2019,0
9/6/2019,0
9/7/2019,112.8
9/8/2019,4.1
9/9/2019,0.2
9/10/2019,3.2
9/11/2019,0
9/12/2019,1.2
9/13/2019,0
9/14/2019,0
9/15/2019,0
9/16/2019,0
9/17/2019,34.6
9/18/2019,0
9/19/2019,12.8
9/20/2019,15.9
9/21/2019,3.2
9/22/2019,2.8
9/23/2019,0.1
9/24/2019,10.5
9/25/2019,2.7
